iter	RMSE
0	4303.571654
1	4042.312493
2	3821.209637
3	3618.560982
4	3438.34321
5	3281.438384
6	3135.252683
7	3011.332044
8	2892.342301
9	2794.151029
10	2702.153247
11	2623.833679
12	2553.776596
13	2494.050993
14	2434.745263
15	2377.446691
16	2329.801659
17	2288.09799
18	2249.196865
19	2216.145115
20	2183.565159
21	2157.187401
22	2130.356396
23	2106.678722
24	2084.585249
25	2066.340858
26	2049.433653
27	2034.817841
28	2019.411782
29	2004.746723
30	1992.024516
31	1979.167439
32	1970.058963
33	1962.818743
34	1954.496591
35	1947.850397
36	1941.855209
37	1934.443241
38	1928.41865
39	1922.610278
40	1917.099375
41	1911.002411
42	1906.931829
43	1899.792418
44	1893.966192
45	1889.977197
46	1885.504645
47	1881.779649
48	1879.251141
49	1875.596026
50	1872.270056
51	1868.241014
52	1864.380839
53	1860.829558
54	1856.734933
55	1854.405145
56	1851.578132
57	1849.076979
58	1845.779886
59	1842.805707
60	1840.046902
61	1838.605366
62	1835.307209
63	1833.003204
64	1830.044862
65	1827.579582
66	1825.910352
67	1823.679588
68	1821.725633
69	1819.442941
70	1817.357067
71	1815.206388
72	1813.659508
73	1812.474334
74	1809.367949
75	1807.665009
76	1806.220131
77	1804.48158
78	1803.37152
79	1801.811
80	1799.918612
81	1798.762757
82	1797.349196
83	1795.878083
84	1794.352617
85	1792.055611
86	1789.815401
87	1788.626447
88	1787.263506
89	1786.395763
90	1784.395395
91	1783.198272
92	1782.621416
93	1781.207973
94	1779.875337
95	1778.647556
96	1777.402912
97	1776.620455
98	1775.423464
99	1774.771506
100	1774.027147
101	1772.413552
102	1771.383008
103	1770.417114
104	1769.326861
105	1768.025434
106	1766.918457
107	1766.229047
108	1765.496192
109	1764.372997
110	1763.176426
111	1761.813259
112	1760.578105
113	1759.19967
114	1757.533565
115	1756.859085
116	1755.856622
117	1755.236339
118	1754.129574
119	1752.900984
120	1751.751495
121	1751.202913
122	1750.250207
123	1749.13611
124	1748.492573
125	1747.718075
126	1747.0867
127	1746.315748
128	1745.647029
129	1744.484996
130	1742.843119
131	1741.984603
132	1741.450582
133	1740.652314
134	1739.757791
135	1738.404851
136	1737.733246
137	1736.941914
138	1735.630172
139	1734.647842
140	1733.66551
141	1732.829586
142	1732.438227
143	1731.805202
144	1730.28228
145	1729.570399
146	1728.513219
147	1728.006716
148	1727.180543
149	1726.620698
150	1726.116965
151	1724.897282
152	1723.868224
153	1722.933844
154	1722.2069
155	1721.425949
156	1721.13864
157	1720.405126
158	1719.622571
159	1719.119136
160	1718.475788
161	1717.71289
162	1716.795189
163	1715.943408
164	1715.066668
165	1714.125001
166	1713.417962
167	1712.97895
168	1711.723576
169	1711.293367
170	1710.676009
171	1709.960285
172	1709.032261
173	1708.567468
174	1708.132044
175	1707.716224
176	1707.014466
177	1706.744222
178	1705.775336
179	1705.393471
180	1704.772286
181	1703.811576
182	1703.155398
183	1702.345893
184	1701.776792
185	1701.262455
186	1700.917229
187	1700.223386
188	1699.260779
189	1698.485216
190	1697.844662
191	1696.97855
