iter	Passed	Remaining
0	133	133237
1	264	132231
2	399	132689
3	526	131103
4	638	127037
5	755	125080
6	880	124913
7	1014	125851
8	1147	126309
9	1266	125361
10	1375	123699
11	1488	122593
12	1609	122199
13	1723	121382
14	1842	120999
15	1970	121182
16	2095	121188
17	2223	121328
18	2327	120190
19	2443	119714
20	2569	119788
21	2699	119988
22	2797	118828
23	2901	118007
24	3013	117517
25	3126	117142
26	3312	119371
27	3417	118625
28	3539	118519
29	3641	117737
30	3768	117803
31	3868	117024
32	3966	116244
33	4083	116006
34	4204	115922
35	4307	115353
36	4408	114737
37	4520	114430
38	4629	114066
39	4723	113352
40	4824	112857
41	4950	112920
42	5069	112818
43	5194	112871
44	5299	112475
45	5406	112125
46	5508	111691
47	5610	111269
48	5719	111000
49	5804	110277
50	5903	109859
51	6024	109837
52	6154	109960
53	6263	109726
54	6385	109721
55	6475	109163
56	6597	109145
57	6718	109111
58	6861	109434
59	7007	109777
60	7141	109938
61	7282	110181
62	7406	110155
63	7522	110023
64	7654	110105
65	7761	109841
66	7876	109676
67	7997	109616
68	8127	109662
69	8234	109397
70	8351	109280
71	8465	109115
72	8568	108804
73	8670	108493
74	8766	108124
75	8889	108076
76	8997	107852
77	9119	107796
78	9240	107724
79	9348	107505
80	9434	107044
81	9576	107207
82	9691	107078
83	9807	106953
84	9941	107017
85	10029	106593
86	10117	106179
87	10260	106335
88	10413	106590
89	10503	106199
90	10611	106002
91	10759	106195
92	10867	105989
93	10987	105899
94	11121	105950
95	11251	105952
96	11376	105903
97	11482	105688
98	11628	105833
99	11766	105897
100	11899	105916
101	11998	105631
102	12094	105326
103	12225	105328
104	12361	105367
105	12472	105196
106	12588	105063
107	12704	104931
108	12814	104751
109	12915	104500
110	13061	104608
111	13190	104581
112	13317	104534
113	13432	104396
114	13564	104390
115	13667	104155
116	13788	104061
117	13909	103969
118	14020	103795
119	14134	103654
120	14256	103568
121	14384	103520
122	14499	103386
123	14617	103264
124	14743	103201
125	14877	103198
126	15020	103251
127	15149	103202
128	15311	103382
129	15440	103332
130	15537	103066
131	15661	102988
132	15758	102725
133	15870	102562
134	16001	102529
135	16114	102377
136	16235	102271
137	16371	102261
138	16477	102065
139	16584	101878
140	16719	101857
141	16861	101880
142	17009	101936
143	17149	101942
144	17292	101967
145	17463	102147
146	17637	102345
147	17786	102394
148	17926	102385
149	18082	102469
150	18243	102573
151	18406	102686
152	18527	102567
153	18674	102590
154	18825	102632
155	18946	102506
156	19098	102550
157	19244	102555
158	19392	102572
159	19528	102527
160	19660	102454
161	19774	102290
162	19936	102373
163	20079	102356
164	20225	102354
165	20339	102189
166	20443	101972
167	20588	101959
168	20708	101825
169	20862	101860
170	20992	101771
171	21131	101725
172	21250	101586
173	21394	101563
174	21527	101488
175	21690	101549
176	21836	101535
177	21991	101556
178	22135	101526
179	22305	101612
180	22457	101616
181	22599	101574
182	22743	101538
183	22862	101390
184	22994	101300
185	23132	101235
186	23288	101246
187	23415	101136
188	23570	101142
189	23686	100977
190	23837	100967
191	23966	100860
192	24107	100802
193	24247	100740
194	24384	100663
195	24537	100654
196	24676	100583
197	24787	100400
198	24895	100207
199	25022	100088
200	25172	100062
201	25355	100166
202	25494	100095
203	25619	99964
204	25785	99996
205	25920	99908
206	26017	99670
207	26153	99583
208	26281	99467
209	26462	99550
210	26580	99391
211	26736	99378
212	26887	99345
213	27039	99312
214	27174	99218
215	27312	99132
216	27444	99026
217	27585	98953
218	27726	98878
219	27881	98852
220	28007	98722
221	28152	98659
222	28288	98567
223	28439	98523
224	28573	98419
225	28725	98378
226	28868	98305
227	29012	98233
228	29161	98181
229	29312	98132
230	29439	98002
231	29571	97891
232	29701	97772
233	29839	97678
234	29967	97552
235	30134	97555
236	30273	97463
237	30426	97415
238	30569	97336
239	30699	97214
240	30844	97142
241	30985	97054
242	31119	96943
243	31278	96911
244	31405	96780
245	31550	96702
246	31680	96580
247	31803	96436
248	31950	96365
249	32095	96287
250	32241	96211
251	32355	96039
252	32478	95893
253	32609	95773
254	32750	95681
255	32860	95500
256	32985	95363
257	33123	95262
258	33244	95112
259	33368	94970
260	33478	94791
261	33616	94691
262	33749	94574
263	33900	94509
264	34034	94398
265	34173	94298
266	34315	94208
267	34454	94106
268	34580	93970
269	34721	93877
270	34853	93758
271	35021	93733
272	35179	93684
273	35317	93579
274	35454	93469
275	35583	93342
276	35711	93212
277	35837	93075
278	35971	92957
279	36095	92818
280	36217	92670
281	36336	92517
282	36462	92380
283	36589	92247
284	36716	92112
285	36839	91970
286	36956	91811
287	37076	91660
288	37293	91749
289	37422	91619
290	37555	91500
291	37673	91346
292	37804	91222
293	37924	91071
294	38055	90945
295	38164	90768
296	38303	90663
297	38444	90564
298	38578	90446
299	38694	90286
300	38824	90160
301	38934	89987
302	39074	89883
303	39196	89740
304	39327	89616
305	39459	89492
306	39606	89405
307	39735	89275
308	39859	89134
309	39981	88991
310	40125	88895
311	40241	88738
312	40371	88610
313	40491	88461
314	40613	88318
315	40736	88175
316	40863	88043
317	40979	87887
318	41117	87776
319	41255	87668
320	41371	87512
321	41473	87326
322	41594	87180
323	41705	87015
324	41856	86932
325	42003	86841
326	42125	86699
327	42259	86580
328	42385	86445
329	42523	86334
330	42664	86231
331	42799	86114
332	42918	85965
333	43038	85818
334	43173	85703
335	43303	85575
336	43426	85436
337	43555	85306
338	43685	85179
339	43786	84997
340	43918	84875
341	44049	84749
342	44201	84665
343	44363	84600
344	44487	84462
345	44636	84369
346	44751	84215
347	44881	84088
348	44991	83923
349	45120	83795
350	45252	83672
351	45379	83539
352	45504	83402
353	45636	83279
354	45759	83140
355	45884	83004
356	46018	82884
357	46158	82774
358	46283	82640
359	46411	82510
360	46553	82402
361	46695	82298
362	46824	82167
363	46949	82033
364	47042	81841
365	47170	81709
366	47298	81580
367	47427	81451
368	47558	81325
369	47757	81316
370	47863	81148
371	47980	81000
372	48124	80895
373	48281	80812
374	48398	80664
375	48533	80545
376	48674	80436
377	48778	80264
378	48911	80142
379	49036	80007
380	49203	79939
381	49335	79814
382	49455	79670
383	49578	79531
384	49693	79379
385	49806	79226
386	49942	79107
387	50086	79002
388	50216	78874
389	50338	78734
390	50475	78617
391	50612	78501
392	50724	78344
393	50861	78228
394	50990	78098
395	51125	77979
396	51265	77866
397	51372	77703
398	51480	77542
399	51615	77422
400	51737	77283
401	51861	77146
402	51987	77014
403	52097	76856
404	52234	76739
405	52349	76589
406	52489	76477
407	52594	76314
408	52720	76180
409	52855	76060
410	52994	75945
411	53109	75797
412	53246	75679
413	53371	75544
414	53546	75481
415	53677	75355
416	53797	75213
417	53912	75064
418	54035	74927
419	54174	74812
420	54328	74717
421	54475	74613
422	54605	74485
423	54742	74367
424	54847	74205
425	54980	74082
426	55111	73954
427	55249	73838
428	55366	73692
429	55505	73576
430	55642	73458
431	55793	73357
432	55949	73264
433	56050	73098
434	56183	72974
435	56313	72845
436	56443	72718
437	56600	72623
438	56740	72509
439	56869	72379
440	57027	72286
441	57156	72156
442	57296	72041
443	57476	71974
444	57620	71863
445	57768	71756
446	57895	71624
447	58069	71550
448	58246	71478
449	58384	71359
450	58511	71225
451	58632	71086
452	58747	70938
453	58864	70793
454	59000	70670
455	59107	70514
456	59240	70388
457	59373	70262
458	59497	70126
459	59616	69984
460	59749	69858
461	59862	69710
462	60004	69594
463	60133	69464
464	60257	69328
465	60369	69179
466	60512	69064
467	60638	68931
468	60772	68806
469	60877	68649
470	61018	68532
471	61144	68398
472	61257	68251
473	61376	68110
474	61494	67967
475	61646	67862
476	61771	67728
477	61889	67586
478	62004	67441
479	62116	67293
480	62226	67142
481	62363	67020
482	62467	66864
483	62560	66696
484	62699	66578
485	62857	66478
486	62989	66352
487	63116	66220
488	63224	66069
489	63342	65927
490	63476	65804
491	63606	65674
492	63726	65536
493	63841	65392
494	63964	65257
495	64082	65115
496	64203	64978
497	64327	64843
498	64468	64726
499	64598	64598
500	64732	64474
501	64866	64349
502	65004	64228
503	65136	64102
504	65272	63980
505	65395	63845
506	65527	63718
507	65645	63578
508	65768	63443
509	65925	63340
510	66063	63218
511	66245	63140
512	66384	63019
513	66499	62876
514	66620	62739
515	66711	62574
516	66851	62455
517	66985	62330
518	67126	62211
519	67258	62085
520	67410	61976
521	67539	61846
522	67678	61725
523	67839	61625
524	67980	61506
525	68107	61374
526	68234	61242
527	68371	61119
528	68511	60999
529	68634	60864
530	68766	60736
531	68882	60596
532	69027	60479
533	69157	60351
534	69274	60210
535	69387	60066
536	69483	59908
537	69597	59765
538	69725	59635
539	69844	59497
540	69978	59371
541	70094	59231
542	70235	59111
543	70371	58987
544	70503	58861
545	70624	58724
546	70748	58590
547	70889	58471
548	71021	58344
549	71141	58207
550	71268	58075
551	71387	57938
552	71510	57803
553	71643	57676
554	71762	57538
555	71903	57419
556	72062	57313
557	72182	57176
558	72296	57034
559	72434	56912
560	72566	56785
561	72710	56667
562	72877	56567
563	73024	56451
564	73185	56346
565	73326	56225
566	73459	56098
567	73579	55961
568	73693	55820
569	73818	55687
570	73960	55567
571	74087	55435
572	74232	55318
573	74357	55185
574	74482	55051
575	74601	54914
576	74694	54758
577	74830	54633
578	74963	54507
579	75078	54367
580	75219	54245
